yy x_star xx
2.86795493977037 5.04249433754012 2.21949945137998
2.3198923802832 2.55203151842579 -4.33994309809743
3.06356811356689 2.36112524755299 6.17040490237413
4.83489913301382 4.12537604803219 6.15961962072066
3.14815091416656 1.54817446134984 -2.61625375358392
9.26225045744892 9.79187667835504 14.2614811195219
2.01403814112951 2.34255641233176 4.83993255803602
7.15796414673579 8.08565646642819 2.34905660841138
1.62212918936052 1.51560911908746 1.36340194565553
3.99619775738054 5.67439508391544 6.13209962245655
5.99779238874672 6.89726419746876 0.0127183042829628
1.54307951906784 0.380631892476231 -0.971307565929382
1.96259591033578 1.34376141242683 -1.02232153219687
1.89910234889422 0.973926614969969 7.10042763028519
5.73678968320799 5.79052046639845 1.67019550299221
4.7980304769563 3.71336730197072 1.36972503341763
3.92002863708325 3.31677773967385 0.888945337837978
3.97049416219448 2.10915472824126 1.9780470013195
2.54735404610837 3.56742167379707 8.47171837661309
2.53251656661731 2.72828032495454 2.01357615681973
2.98246139740239 2.88992205169052 0.787199806760815
6.10510201744653 7.85864420235157 8.44722014917591
7.36646528835306 8.15403604414314 7.37331632372362
3.64739549078199 4.07372171990573 7.46262172994583
8.14593417725595 8.00293747801334 2.69511589149185
6.52790866033037 6.62223684601486 4.07880163169697
2.58881596576326 1.65232515893877 7.07701357629079
3.59470289833916 2.03283274546266 2.26746597113776
3.88870247452104 4.56576932221651 10.1866425543226
4.91418303405939 3.70868606492877 2.17648146005068
1.23827544535461 2.76779202744365 1.48519949636052
7.73455553436934 8.0082016531378 7.79416726791154
6.30165722259078 5.27313272934407 4.80002207824167
3.53944950855314 1.76778802648187 1.79977910970257
7.34069509760724 7.77551379986107 5.93325417537446
1.93447867378436 0.939187940675765 3.05915196765414
8.9916278807941 9.25360335502774 12.7050310834842
5.02267107208414 5.53209367441013 7.84504919471296
3.83147428425843 4.15507494937629 2.69714882857853
0.835101772800318 1.36754232691601 -1.53274917052697
1.03304818614586 0.587599391583353 2.4182940753595
4.69449073886012 6.33187965257093 6.51262325846842
-0.359466853574505 1.01188528584316 -0.973497547972538
8.39690933457683 8.50381719181314 7.74549655326805
7.17740203641933 7.94198145857081 9.57762521042702
5.95428709292628 4.62431397056207 3.14562202743717
6.64393703652565 5.57412681169808 5.19267580051606
7.76733190150714 7.60104588232934 6.26499558208328
4.71948395539182 3.41211492894217 10.4569197444656
7.36297157015968 7.81147883739322 8.37576492891376
